NOMBRE,TIPO,LATITUD,LONGITUD,DIRECCION
CAYETANO CAÑIZARES,Deporte,4.62494543685443,-74.1604148206864,"Cra. 80 #40 55 Sur, Bogotá"
SALON COMUNAL LUCERNA,Deporte,4.61295587113724,-74.1463163648674,"Cra. 72m #38c Sur3, Bogotá"
BRITALIA JAC,Deporte,4.62220879847069,-74.1708391783588,"Cra. 81b #47A-16Sur, Kennedy, Bogotá"
AMERICAS 68 SEGUNDA DIVISION,Deporte,4.62391330172985,-74.1253228920687,AVENIDA 68 # 1-63
PARQUE TINTAL FASE 3,Deporte,4.65089479149491,-74.1680996648672,CALLE 2 # 93D -66
JAC LAS MARAGARITAS,Deporte,4.63502372187213,-74.1775140248294,calle 48 sur 89 b 43
TABAKU,Deporte,4.64012433165184,-74.1543371312073,CARRERA 82A # 6 - 71
COLISEO CASTILLA,Deporte,4.63947452682236,-74.1391972423276,"a 73-87,, Cl. 8b Bis #7343, Bogotá"
COLISEO CAYETANO CAÑIZARES,Deporte,4.624881273443511,-74.1605328378845,"Cra. 80 #40 55 Sur, Bogotá"
DELICIAS - SAN ANDRES 1 SECTOR,Deporte,4.5978393183296,-74.1425744017033,CALLE 43F SUR 68F KENNEDY BOGOTA
PERPETUO SOCCORRO,Deporte,4.61097688353462,-74.1663544783588,CARRERA 78 No. 49-43

