NOMBRE,TIPO,LATITUD,LONGITUD,DIRECCION
COLEGIO MARSELLA,Cultura,4.63322548333959,-74.1272655790134,CRA 69 # 8-65
SALÓN COMUNAL MORABIA,Cultura,4.60586347917829,-74.153387580858,CL 43 SUR # 72 14 
SALÓN COMUNAL RIVERAS DE OCCIDENTE,Cultura,4.64354826669594,-74.1681584917193,CL 35 A SUR # 92B 21 
SALÓN COMUNAL FLORALIA,Cultura,4.59663261032487,-74.1417221808304,TV 68C # 31 26 
SALÓN COMUNAL UNIR,Cultura,4.64222059360958,-74.1659378519949,CL 34A SUR # 89C 08 
RESERVADO ROMA II,Cultura,4.61600129488892,-74.1807768227978,CALLE 57C SUR 81D-01
ALCALDÍA LOCAL DE KENNEDY,Cultura,4.61988625690024,-74.1577958366543,TV 78K # 89C 08
CDC BELLAVISTA,Cultura,4.64580359914866,-74.1717503519948,CALLE 38 SUR # 94C 29 
JAC EL RUBI,Cultura,4.60943365467135,-74.1756577366544,CL 57H SUR # 78M 44
I.E.D JACKELINE,Cultura,4.6090032899571,-74.1629830096654,CARRERA 77Q CLL 46 SUR
JARDIN  BAMBI DEL BIENESTAR FAMILIAR,Cultura,4.64342229969264,-74.1725513348079,CARRERA 93B 40A 20 SUR
CASA DE LA JUVENTUD IWOKA,Cultura,4.62304693760222,-74.1563432213136,CARRERA 78N 39-33
COLEGIO CASTILLA IED,Cultura,4.64076556862375,-74.1419436808301,KR 78C # 8A 43 
JAC TUNDAMA,Cultura,4.60283556282096,-74.1500779366544,CALLE 46 SUR # 72I-06
COLEGIO CARLOS ARTURO TORRES SEDE B,Cultura,4.59983196386168,-74.1464851096655,TV 72B # 44C 19 SUR
JAC VISIÓN COLOMBIA,Cultura,4.65076623315056,-74.1352990213134,KR 79C#13A-36
JARDIN INFANTIL APRENDIENDO JUNTOS ABC,Cultura,4.6507681187499,-74.1590076687099,CRA 90 C  CALLE 6A
COLEGIO FLORESTA SUR SEDE B,Cultura,4.620290710988369,-74.1267584654894,Cra. 68a Bis #01-09
PLAZA DE CORABASTOS,Cultura,4.627729248401129,-74.1618369950256,Cra. 80 #40 55 Sur
FUNDACIÓN FAPAZ - SALÓN SOCIAL OIKOS III 2 ETAPA,Cultura,4.61643078587981,-74.1470182423296,CALLE 38 #72Q - 53
SALON COMUNAL LAS LUCES,Cultura,4.60566244020551,-74.1676179401279,CRA 77H # 51A-84 SUR 
SALÓN COMUNAL VILLA ALSACIA,Cultura,4.64375236133559,-74.1360713348079,CALLE 11A # 72D-20 
JAC FLORALIA,Cultura,4.59675024791785,-74.1416148924786,TV. 68C SUR #31-26
SALON COMUNAL VILLA CLAUDIA,Cultura,4.61734982357606,-74.1291009943247,CALLE 9A SUR #68F-23
CEDE C TIMIZA,Cultura,4.61113261881773,-74.1567063501488,CARRERA 74 # 42GSUR - 52
ALCALDIA LOCAL KENNEDY,Cultura,4.61912329321112,-74.1577663943247,CALLE 41B SUR # 78J-50
ANDARES,Cultura,4.63264303382328,-74.1368732961707,CRA 71 G #  6D-22
GRUPO CARIMAGUA,Cultura,4.60985336038675,-74.1469612654896,CRA 72 K # 39 SUR - 24
nan,Cultura,4.62586811591474,-74.1393510348081,AC 3 # 72-99
BIBLIOTECA COMUNITARIA ALTAMAR,Cultura,4.63533464526522,-74.172260834808,CL 42F SUR # 88C 20 
ASOCIACION MUJERES DEL RIO,Cultura,4.64624826053833,-74.1735537501486,CALLE 40 SUR # 96-04
PUNTO VIVE DIGITAL CARVAJAL,Cultura,4.64126955165242,-74.1723855424876,CRA.91B #41-18
PARQUE LAS PISCINAS,Deporte,4.64141305572235,-74.1644460053815,"Dg. 34 Bis Sur, Kennedy, Bogotá"
MUNDO AVENTURA 1,Deporte,4.62215947425278,-74.1348344305173,"Cra. 71d #1-14 Sur, Bogotá"
MUNDO AVENTURA 2,Deporte,4.62215947425278,-74.1348344305173,"Cra. 71d #1-14 Sur, Bogotá"
AYACUCHO,Deporte,4.628991296810129,-74.1504928881886,CALLE 6 SUR 78M 55
"VILLA ALSACIA
SALON COMUNAL",Deporte,4.64314213092791,-74.1350416358909,CALLE 11A #72-72
DELICIAS SAUCOS DEL BOSQUE,Deporte,4.5993213811508,-74.1484416629412,CALLE 45 SUR 72 B 17
PARQUE VALLADOLID,Deporte,4.64551653980184,-74.1469135711638,CARRERA 81D CON CALLE 8 B
VILLA CLAUDIA,Deporte,4.61774849953641,-74.1266379610878,CALLE 9 A SUR # 68 - 05
"TORRES DE NUEVO CASTILLA 1 CALANDAIMA
operador",Deporte,4.64934450299778,-74.1519005306895,CALLE 8 # 88B 90 SUR
