clase_fa,archivos,lucide_propuesto,confianza,revisar_a_mano,ejemplos
fa-graduation-cap,5,GraduationCap,exacto,no,apps/presupuesto/services/modulos_area.py | frontend/src/app/features/educacion/colegios-list.component.ts
fa-id-card,5,IdCard,exacto,no,core/settings.py | frontend/src/app/features/perfil/perfil.component.ts
fa-link,5,Link,exacto,no,frontend/src/app/features/area/area-panel.component.ts | frontend/src/app/features/presupuesto/presupuesto-dashboard.component.ts
fa-location-dot,5,,sin-candidato,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/festivales/festival-detalle.component.ts
fa-map-marked-alt,5,,sin-candidato,sí,apps/dashboard/services/hub_cards.py | core/settings.py
fa-pencil,5,Pencil,exacto,no,frontend/src/app/features/eventos/tipos-evento.component.ts | frontend/src/app/features/presupuesto/presupuesto-detail.component.ts
fa-qrcode,5,QrCode,exacto,no,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/cursos/curso-detalle.component.ts
fa-trophy,5,Trophy,exacto,no,apps/presupuesto/services/modulos_area.py | frontend/src/app/features/dashboard/showcase.component.ts
fa-box-open,4,PackageOpen,sinonimo,sí,apps/presupuesto/services/modulos_area.py | frontend/src/app/features/entregas/entrega-detail.component.ts
fa-building,4,Building,exacto,no,frontend/src/app/core/layout/sidebar/sidebar.component.ts | frontend/src/app/features/admin/admin-hub.component.ts
fa-chalkboard-teacher,4,,sin-candidato,sí,apps/login/api/views.py | frontend/src/app/features/actividades/actividades-eventos.component.ts
fa-file-invoice-dollar,4,,sin-candidato,sí,frontend/src/app/features/presupuesto/presupuesto-detail.component.ts | frontend/src/app/features/presupuesto/presupuesto-entidad.component.ts
fa-image,4,Image,exacto,no,frontend/src/app/features/festivales/festival-biblioteca.component.ts | frontend/src/app/features/infraestructura/infra-detalle.component.ts
fa-list,4,List,exacto,no,apps/login/api/views.py | frontend/src/app/features/eventos/eventos-list.component.ts
fa-list-check,4,ListCheck,exacto,no,frontend/src/app/features/cursos/curso-detalle.component.ts | frontend/src/app/features/festivales/festival-detalle.component.ts
fa-road,4,,sin-candidato,sí,apps/presupuesto/services/modulos_area.py | frontend/src/app/features/infraestructura/infra-detalle.component.ts
fa-scale-balanced,4,,sin-candidato,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/presupuesto/comparacion-sdp.component.ts
fa-shield-halved,4,Shield,sinonimo,sí,apps/caracterizacion/sectores.py | apps/presupuesto/services/modulos_area.py
fa-tags,4,Tags,exacto,no,apps/login/api/views.py | frontend/src/app/features/eventos/tipos-evento.component.ts
fa-user-shield,4,,sin-candidato,sí,frontend/src/app/core/layout/sidebar/sidebar.component.ts | frontend/src/app/features/admin/admin-hub.component.ts
fa-user-tie,4,,sin-candidato,sí,frontend/src/app/features/admin/admin-org.component.ts | frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts
fa-brain,3,Brain,exacto,no,apps/dashboard/services/hub_cards.py | frontend/src/app/core/layout/sidebar/sidebar.component.ts
fa-clipboard,3,Clipboard,exacto,no,apps/login/api/public_captura.py | frontend/src/app/features/caracterizacion/caracterizaciones-evento.component.ts
fa-clipboard-check,3,ClipboardCheck,exacto,no,frontend/src/app/features/captura/captura-list.component.ts | frontend/src/app/features/cursos/curso-detalle.component.ts
fa-clock,3,Clock,exacto,no,frontend/src/app/features/festivales/festival-detalle.component.ts | frontend/src/app/features/votaciones/votaciones-detail.component.ts
fa-clock-rotate-left,3,,sin-candidato,sí,frontend/src/app/features/admin/admin-accesos.component.ts | frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts
fa-cogs,3,,sin-candidato,sí,apps/dashboard/services/hub_cards.py | frontend/src/app/features/admin/admin-hub.component.ts
fa-comment-dots,3,,sin-candidato,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/entregas/entrega-detail.component.ts
fa-file-csv,3,,sin-candidato,sí,frontend/src/app/features/admin/admin-org.component.ts | frontend/src/app/features/banco-iniciativas/inscripciones-list.component.ts
fa-file-excel,3,,sin-candidato,sí,frontend/src/app/features/admin/admin-org.component.ts | frontend/src/app/features/cursos/curso-detalle.component.ts
fa-file-lines,3,,sin-candidato,sí,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/festivales/festival-biblioteca.component.ts
fa-flag,3,Flag,exacto,no,frontend/src/app/features/banco-iniciativas/inscripcion-detail.component.ts | frontend/src/app/features/presupuesto/presupuesto-dashboard.component.ts
